Latitude,Longitude
32.38945,-84.81142
32.3898,-84.81128
32.39018,-84.81112
32.3898,-84.81184
32.39001,-84.81146
32.3904,-84.8112
32.39048,-84.81203
32.39063,-84.81103
32.39059,-84.81155
32.39084,-84.81173
32.39111,-84.81216
32.39127,-84.81162
32.39095,-84.81114
